_CORR_ANS,item_1,_tripletid,file_1,onset_1,offset_1,word_1,speaker_1,CV_1,context_1,phone_1,_target_other,CV_2,context_2,file_2,item_2,offset_2,onset_2,phone_2,speaker_2,word_2
A,ewan_8,stimulus1_A,stimuli/raw/ewan.wav,22.3965,23.01587,HADI,ewan,V,I,ɑ,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_5,13.30968,12.5659,ɑ,amelia,HADI
B,ewan_2,stimulus2_B,stimuli/raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_1,2.9625,2.19827,ɑ,amelia,HADAH
A,ewan_101,stimulus3_A,stimuli/raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,ewan_71,stimulus4_A,stimuli/raw/ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE
B,amelia_consonants_20,stimulus5_B,stimuli/raw/amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,TGT,C,A,stimuli/raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
B,ewan_59,stimulus6_B,stimuli/raw/ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_9,24.1025,23.47667,t,amelia,ATAH
A,amelia_consonants_14,stimulus7_A,stimuli/raw/amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,TGT,C,I,stimuli/raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE
A,ewan_56,stimulus8_A,stimuli/raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
B,amelia_consonants_3,stimulus9_B,stimuli/raw/amelia_consonants.wav,7.31359,7.93251,APAH,amelia,C,A,p,TGT,C,A,stimuli/raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
B,amelia_consonants_46,stimulus10_B,stimuli/raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,TGT,C,I,stimuli/raw/ewan.wav,ewan_96,277.3325,276.7625,ʃ,ewan,EESHEE
A,ewan_92,stimulus11_A,stimuli/raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH
A,amelia_consonants_3,stimulus12_A,stimuli/raw/amelia_consonants.wav,7.31359,7.93251,APAH,amelia,C,A,p,TGT,C,A,stimuli/raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
B,amelia_vowels_33,stimulus13_B,stimuli/raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,TGT,V,A,stimuli/raw/ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
B,amelia_consonants_7,stimulus14_B,stimuli/raw/amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,TGT,C,I,stimuli/raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE
B,ewan_83,stimulus15_B,stimuli/raw/ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
A,ewan_87,stimulus16_A,stimuli/raw/ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE
A,ewan_50,stimulus17_A,stimuli/raw/ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH
B,ewan_56,stimulus18_B,stimuli/raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
B,amelia_consonants_55,stimulus19_B,stimuli/raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,TGT,C,I,stimuli/raw/ewan.wav,ewan_101,290.7225,290.0925,θ,ewan,EETHEE
A,amelia_consonants_49,stimulus20_A,stimuli/raw/amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ,TGT,C,A,stimuli/raw/ewan.wav,ewan_97,280.3225,279.7725,θ,ewan,ATHAH
A,amelia_consonants_7,stimulus21_A,stimuli/raw/amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,TGT,C,I,stimuli/raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE
B,ewan_56,stimulus22_B,stimuli/raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
B,amelia_consonants_9,stimulus23_B,stimuli/raw/amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,TGT,C,A,stimuli/raw/ewan.wav,ewan_59,177.5625,177.0325,t,ewan,ATAH
A,ewan_37,stimulus24_A,stimuli/raw/ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_39,102.16942,101.46732,ʊ,amelia,HOODI
A,ewan_59,stimulus25_A,stimuli/raw/ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_9,24.1025,23.47667,t,amelia,ATAH
A,ewan_96,stimulus26_A,stimuli/raw/ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE
B,amelia_consonants_42,stimulus27_B,stimuli/raw/amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,TGT,C,A,stimuli/raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH
B,amelia_consonants_38,stimulus28_B,stimuli/raw/amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,TGT,C,I,stimuli/raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE
A,ewan_83,stimulus29_A,stimuli/raw/ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
A,ewan_92,stimulus30_A,stimuli/raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH
B,amelia_consonants_46,stimulus31_B,stimuli/raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,TGT,C,I,stimuli/raw/ewan.wav,ewan_96,277.3325,276.7625,ʃ,ewan,EESHEE
B,amelia_consonants_49,stimulus32_B,stimuli/raw/amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ,TGT,C,A,stimuli/raw/ewan.wav,ewan_97,280.3225,279.7725,θ,ewan,ATHAH
A,ewan_101,stimulus33_A,stimuli/raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,amelia_consonants_46,stimulus34_A,stimuli/raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,TGT,C,I,stimuli/raw/ewan.wav,ewan_96,277.3325,276.7625,ʃ,ewan,EESHEE
A,ewan_2,stimulus35_A,stimuli/raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_1,2.9625,2.19827,ɑ,amelia,HADAH
B,ewan_92,stimulus36_B,stimuli/raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH
B,amelia_consonants_9,stimulus37_B,stimuli/raw/amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,TGT,C,A,stimuli/raw/ewan.wav,ewan_59,177.5625,177.0325,t,ewan,ATAH
A,ewan_62,stimulus38_A,stimuli/raw/ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE
A,amelia_consonants_38,stimulus39_A,stimuli/raw/amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,TGT,C,I,stimuli/raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE
B,amelia_consonants_34,stimulus40_B,stimuli/raw/amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,TGT,C,A,stimuli/raw/ewan.wav,ewan_83,244.9725,244.4025,s,ewan,ASSAH
B,ewan_101,stimulus41_B,stimuli/raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,ewan_97,stimulus42_A,stimuli/raw/ewan.wav,279.7725,280.3225,ATHAH,ewan,C,A,θ,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_49,130.6925,129.9825,θ,amelia,ATHAH
A,ewan_83,stimulus43_A,stimuli/raw/ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
B,amelia_consonants_38,stimulus44_B,stimuli/raw/amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,TGT,C,I,stimuli/raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE
B,ewan_62,stimulus45_B,stimuli/raw/ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE
B,amelia_vowels_5,stimulus46_B,stimuli/raw/amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,TGT,V,I,stimuli/raw/ewan.wav,ewan_8,23.01587,22.3965,ɑ,ewan,HADI
A,amelia_consonants_9,stimulus47_A,stimuli/raw/amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,TGT,C,A,stimuli/raw/ewan.wav,ewan_59,177.5625,177.0325,t,ewan,ATAH
A,ewan_101,stimulus48_A,stimuli/raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
B,amelia_consonants_55,stimulus49_B,stimuli/raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,TGT,C,I,stimuli/raw/ewan.wav,ewan_101,290.7225,290.0925,θ,ewan,EETHEE
B,amelia_consonants_9,stimulus50_B,stimuli/raw/amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,TGT,C,A,stimuli/raw/ewan.wav,ewan_59,177.5625,177.0325,t,ewan,ATAH
A,ewan_59,stimulus51_A,stimuli/raw/ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_9,24.1025,23.47667,t,amelia,ATAH
B,ewan_29,stimulus52_B,stimuli/raw/ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_30,79.88909,79.21868,ʌ,amelia,HUHDI
A,amelia_vowels_25,stimulus53_A,stimuli/raw/amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,TGT,V,A,stimuli/raw/ewan.wav,ewan_28,81.7525,81.0625,ʌ,ewan,HUHDAH
A,amelia_vowels_5,stimulus54_A,stimuli/raw/amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,TGT,V,I,stimuli/raw/ewan.wav,ewan_8,23.01587,22.3965,ɑ,ewan,HADI
B,ewan_2,stimulus55_B,stimuli/raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_1,2.9625,2.19827,ɑ,amelia,HADAH
B,amelia_vowels_41,stimulus56_B,stimuli/raw/amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,TGT,V,A,stimuli/raw/ewan.wav,ewan_43,127.0125,126.2825,u,ewan,WHODAH
B,ewan_2,stimulus57_B,stimuli/raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_1,2.9625,2.19827,ɑ,amelia,HADAH
A,ewan_46,stimulus58_A,stimuli/raw/ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_48,124.5925,123.87499,u,amelia,WHODI
A,amelia_vowels_11,stimulus59_A,stimuli/raw/amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,TGT,V,A,stimuli/raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH
B,amelia_vowels_15,stimulus60_B,stimuli/raw/amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,TGT,V,I,stimuli/raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI
B,ewan_21,stimulus61_B,stimuli/raw/ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI
A,ewan_19,stimulus62_A,stimuli/raw/ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_17,45.0725,44.25247,i,amelia,HEEDAH
A,ewan_10,stimulus63_A,stimuli/raw/ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_11,28.2425,27.47216,æ,amelia,HAEDAH
B,ewan_14,stimulus64_B,stimuli/raw/ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_15,38.4725,37.6934,æ,amelia,HAEDI
B,amelia_vowels_39,stimulus65_B,stimuli/raw/amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ,TGT,V,I,stimuli/raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI
A,amelia_vowels_33,stimulus66_A,stimuli/raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,TGT,V,A,stimuli/raw/ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
A,amelia_vowels_11,stimulus67_A,stimuli/raw/amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,TGT,V,A,stimuli/raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH
B,amelia_vowels_11,stimulus68_B,stimuli/raw/amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,TGT,V,A,stimuli/raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH
B,ewan_10,stimulus69_B,stimuli/raw/ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_11,28.2425,27.47216,æ,amelia,HAEDAH
B,ewan_29,stimulus70_B,stimuli/raw/ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_30,79.88909,79.21868,ʌ,amelia,HUHDI
A,amelia_vowels_30,stimulus71_A,stimuli/raw/amelia_vowels.wav,79.21868,79.88909,HUHDI,amelia,V,I,ʌ,TGT,V,I,stimuli/raw/ewan.wav,ewan_29,86.1325,85.39155,ʌ,ewan,HUHDI
A,ewan_10,stimulus72_A,stimuli/raw/ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_11,28.2425,27.47216,æ,amelia,HAEDAH
B,ewan_14,stimulus73_B,stimuli/raw/ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_15,38.4725,37.6934,æ,amelia,HAEDI
B,amelia_vowels_48,stimulus74_B,stimuli/raw/amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,TGT,V,I,stimuli/raw/ewan.wav,ewan_46,135.7425,134.9925,u,ewan,WHODI
A,amelia_vowels_41,stimulus75_A,stimuli/raw/amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,TGT,V,A,stimuli/raw/ewan.wav,ewan_43,127.0125,126.2825,u,ewan,WHODAH
A,amelia_vowels_22,stimulus76_A,stimuli/raw/amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,TGT,V,I,stimuli/raw/ewan.wav,ewan_21,61.7525,60.9271,i,ewan,HEEDI
B,ewan_21,stimulus77_B,stimuli/raw/ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI
B,amelia_vowels_33,stimulus78_B,stimuli/raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,TGT,V,A,stimuli/raw/ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
A,amelia_vowels_15,stimulus79_A,stimuli/raw/amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,TGT,V,I,stimuli/raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI
A,ewan_34,stimulus80_A,stimuli/raw/ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH
A,amelia_vowels_22,stimulus81_A,stimuli/raw/amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,TGT,V,I,stimuli/raw/ewan.wav,ewan_21,61.7525,60.9271,i,ewan,HEEDI
B,ewan_21,stimulus82_B,stimuli/raw/ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI
B,ewan_28,stimulus83_B,stimuli/raw/ewan.wav,81.0625,81.7525,HUHDAH,ewan,V,A,ʌ,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_25,67.6025,66.85124,ʌ,amelia,HUHDAH
A,amelia_vowels_25,stimulus84_A,stimuli/raw/amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,TGT,V,A,stimuli/raw/ewan.wav,ewan_28,81.7525,81.0625,ʌ,ewan,HUHDAH
A,amelia_vowels_17,stimulus85_A,stimuli/raw/amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,TGT,V,A,stimuli/raw/ewan.wav,ewan_19,55.1725,54.4125,i,ewan,HEEDAH
B,ewan_19,stimulus86_B,stimuli/raw/ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_17,45.0725,44.25247,i,amelia,HEEDAH
B,ewan_46,stimulus87_B,stimuli/raw/ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_48,124.5925,123.87499,u,amelia,WHODI
A,amelia_vowels_48,stimulus88_A,stimuli/raw/amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,TGT,V,I,stimuli/raw/ewan.wav,ewan_46,135.7425,134.9925,u,ewan,WHODI
A,ewan_34,stimulus89_A,stimuli/raw/ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH
A,ewan_2,stimulus90_A,stimuli/raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_1,2.9625,2.19827,ɑ,amelia,HADAH
B,amelia_vowels_39,stimulus91_B,stimuli/raw/amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ,TGT,V,I,stimuli/raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI
B,ewan_29,stimulus92_B,stimuli/raw/ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_30,79.88909,79.21868,ʌ,amelia,HUHDI
A,amelia_vowels_25,stimulus93_A,stimuli/raw/amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,TGT,V,A,stimuli/raw/ewan.wav,ewan_28,81.7525,81.0625,ʌ,ewan,HUHDAH
A,amelia_vowels_33,stimulus94_A,stimuli/raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,TGT,V,A,stimuli/raw/ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
B,ewan_34,stimulus95_B,stimuli/raw/ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH
