_CORR_ANS,item_1,_tripletid,file_1,onset_1,offset_1,word_1,speaker_1,CV_1,context_1,phone_1,_target_other,CV_2,context_2,file_2,item_2,offset_2,onset_2,phone_2,speaker_2,word_2
B,ewan_46,stimulus96_B,stimuli/raw/ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_48,124.5925,123.87499,u,amelia,WHODI
A,amelia_vowels_48,stimulus97_A,stimuli/raw/amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,TGT,V,I,stimuli/raw/ewan.wav,ewan_46,135.7425,134.9925,u,ewan,WHODI
A,amelia_vowels_33,stimulus98_A,stimuli/raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,TGT,V,A,stimuli/raw/ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
B,ewan_37,stimulus99_B,stimuli/raw/ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_39,102.16942,101.46732,ʊ,amelia,HOODI
B,amelia_vowels_48,stimulus100_B,stimuli/raw/amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,TGT,V,I,stimuli/raw/ewan.wav,ewan_46,135.7425,134.9925,u,ewan,WHODI
B,amelia_vowels_5,stimulus101_B,stimuli/raw/amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,TGT,V,I,stimuli/raw/ewan.wav,ewan_8,23.01587,22.3965,ɑ,ewan,HADI
A,ewan_43,stimulus102_A,stimuli/raw/ewan.wav,126.2825,127.0125,WHODAH,ewan,V,A,u,TGT,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH
A,ewan_80,stimulus103_A,stimuli/raw/ewan.wav,235.6825,236.2625,EEFEE,ewan,C,I,f,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE
B,amelia_consonants_27,stimulus104_B,stimuli/raw/amelia_consonants.wav,72.1025,72.7625,AFAH,amelia,C,A,f,TGT,C,A,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
B,amelia_consonants_23,stimulus105_B,stimuli/raw/amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,TGT,C,I,stimuli/raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE
A,ewan_68,stimulus106_A,stimuli/raw/ewan.wav,201.2425,201.7625,AKAH,ewan,C,A,k,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH
A,amelia_consonants_31,stimulus107_A,stimuli/raw/amelia_consonants.wav,82.6725,83.39679,EEFEE,amelia,C,I,f,TGT,C,I,stimuli/raw/ewan.wav,ewan_80,236.2625,235.6825,f,ewan,EEFEE
B,ewan_80,stimulus108_B,stimuli/raw/ewan.wav,235.6825,236.2625,EEFEE,ewan,C,I,f,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE
B,amelia_consonants_3,stimulus109_B,stimuli/raw/amelia_consonants.wav,7.31359,7.93251,APAH,amelia,C,A,p,TGT,C,A,stimuli/raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
A,ewan_50,stimulus110_A,stimuli/raw/ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH
A,amelia_consonants_27,stimulus111_A,stimuli/raw/amelia_consonants.wav,72.1025,72.7625,AFAH,amelia,C,A,f,TGT,C,A,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
B,amelia_vowels_17,stimulus112_B,stimuli/raw/amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,TGT,V,A,stimuli/raw/ewan.wav,ewan_19,55.1725,54.4125,i,ewan,HEEDAH
B,ewan_76,stimulus113_B,stimuli/raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH
B,ewan_96,stimulus114_B,stimuli/raw/ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE
A,amelia_consonants_46,stimulus115_A,stimuli/raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,TGT,C,I,stimuli/raw/ewan.wav,ewan_96,277.3325,276.7625,ʃ,ewan,EESHEE
A,amelia_consonants_31,stimulus116_A,stimuli/raw/amelia_consonants.wav,82.6725,83.39679,EEFEE,amelia,C,I,f,TGT,C,I,stimuli/raw/ewan.wav,ewan_80,236.2625,235.6825,f,ewan,EEFEE
B,ewan_76,stimulus117_B,stimuli/raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH
B,ewan_87,stimulus118_B,stimuli/raw/ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE
A,amelia_consonants_34,stimulus119_A,stimuli/raw/amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,TGT,C,A,stimuli/raw/ewan.wav,ewan_83,244.9725,244.4025,s,ewan,ASSAH
A,ewan_76,stimulus120_A,stimuli/raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH
B,amelia_consonants_27,stimulus121_B,stimuli/raw/amelia_consonants.wav,72.1025,72.7625,AFAH,amelia,C,A,f,TGT,C,A,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
B,ewan_101,stimulus122_B,stimuli/raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,ewan_21,stimulus123_A,stimuli/raw/ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,TGT,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI
A,amelia_consonants_55,stimulus124_A,stimuli/raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,TGT,C,I,stimuli/raw/ewan.wav,ewan_101,290.7225,290.0925,θ,ewan,EETHEE
A,amelia_consonants_31,stimulus125_A,stimuli/raw/amelia_consonants.wav,82.6725,83.39679,EEFEE,amelia,C,I,f,TGT,C,I,stimuli/raw/ewan.wav,ewan_80,236.2625,235.6825,f,ewan,EEFEE
B,ewan_80,stimulus126_B,stimuli/raw/ewan.wav,235.6825,236.2625,EEFEE,ewan,C,I,f,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE
B,ewan_59,stimulus127_B,stimuli/raw/ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_9,24.1025,23.47667,t,amelia,ATAH
A,amelia_consonants_9,stimulus128_A,stimuli/raw/amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,TGT,C,A,stimuli/raw/ewan.wav,ewan_59,177.5625,177.0325,t,ewan,ATAH
A,amelia_consonants_23,stimulus129_A,stimuli/raw/amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,TGT,C,I,stimuli/raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE
B,amelia_consonants_20,stimulus130_B,stimuli/raw/amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,TGT,C,A,stimuli/raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
B,ewan_56,stimulus131_B,stimuli/raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
A,ewan_50,stimulus132_A,stimuli/raw/ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH
A,ewan_71,stimulus133_A,stimuli/raw/ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE
A,amelia_vowels_5,stimulus134_A,stimuli/raw/amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,TGT,V,I,stimuli/raw/ewan.wav,ewan_8,23.01587,22.3965,ɑ,ewan,HADI
B,amelia_consonants_23,stimulus135_B,stimuli/raw/amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,TGT,C,I,stimuli/raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE
B,ewan_92,stimulus136_B,stimuli/raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH
A,amelia_consonants_42,stimulus137_A,stimuli/raw/amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,TGT,C,A,stimuli/raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH
A,ewan_71,stimulus138_A,stimuli/raw/ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,TGT,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE
B,amelia_consonants_23,stimulus139_B,stimuli/raw/amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,TGT,C,I,stimuli/raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE
B,ewan_83,stimulus140_B,stimuli/raw/ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
A,amelia_consonants_34,stimulus141_A,stimuli/raw/amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,TGT,C,A,stimuli/raw/ewan.wav,ewan_83,244.9725,244.4025,s,ewan,ASSAH
A,ewan_68,stimulus142_A,stimuli/raw/ewan.wav,201.2425,201.7625,AKAH,ewan,C,A,k,TGT,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH
B,amelia_consonants_20,stimulus143_B,stimuli/raw/amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,TGT,C,A,stimuli/raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
B,amelia_consonants_55,stimulus144_B,stimuli/raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,TGT,C,I,stimuli/raw/ewan.wav,ewan_101,290.7225,290.0925,θ,ewan,EETHEE
A,ewan_8,stimulus1_A,stimuli/raw/ewan.wav,22.3965,23.01587,HADI,ewan,V,I,ɑ,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_15,38.4725,37.6934,æ,amelia,HAEDI
B,ewan_2,stimulus2_B,stimuli/raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH
A,ewan_101,stimulus3_A,stimuli/raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE
A,ewan_71,stimulus4_A,stimuli/raw/ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE
B,amelia_consonants_20,stimulus5_B,stimuli/raw/amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,OTH,C,A,stimuli/raw/ewan.wav,ewan_59,177.5625,177.0325,t,ewan,ATAH
B,ewan_59,stimulus6_B,stimuli/raw/ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH
A,amelia_consonants_14,stimulus7_A,stimuli/raw/amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,OTH,C,I,stimuli/raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE
A,ewan_56,stimulus8_A,stimuli/raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE
B,amelia_consonants_3,stimulus9_B,stimuli/raw/amelia_consonants.wav,7.31359,7.93251,APAH,amelia,C,A,p,OTH,C,A,stimuli/raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH
B,amelia_consonants_46,stimulus10_B,stimuli/raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,OTH,C,I,stimuli/raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE
A,ewan_92,stimulus11_A,stimuli/raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH
A,amelia_consonants_3,stimulus12_A,stimuli/raw/amelia_consonants.wav,7.31359,7.93251,APAH,amelia,C,A,p,OTH,C,A,stimuli/raw/ewan.wav,ewan_83,244.9725,244.4025,s,ewan,ASSAH
B,amelia_vowels_33,stimulus13_B,stimuli/raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,OTH,V,A,stimuli/raw/ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH
B,amelia_consonants_7,stimulus14_B,stimuli/raw/amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,OTH,C,I,stimuli/raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE
B,ewan_83,stimulus15_B,stimuli/raw/ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH
A,ewan_87,stimulus16_A,stimuli/raw/ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
A,ewan_50,stimulus17_A,stimuli/raw/ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_49,130.6925,129.9825,θ,amelia,ATHAH
B,ewan_56,stimulus18_B,stimuli/raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
B,amelia_consonants_55,stimulus19_B,stimuli/raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,OTH,C,I,stimuli/raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE
A,amelia_consonants_49,stimulus20_A,stimuli/raw/amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ,OTH,C,A,stimuli/raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
A,amelia_consonants_7,stimulus21_A,stimuli/raw/amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,OTH,C,I,stimuli/raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE
B,ewan_56,stimulus22_B,stimuli/raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE
B,amelia_consonants_9,stimulus23_B,stimuli/raw/amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,OTH,C,A,stimuli/raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
A,ewan_37,stimulus24_A,stimuli/raw/ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_5,13.30968,12.5659,ɑ,amelia,HADI
A,ewan_59,stimulus25_A,stimuli/raw/ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH
A,ewan_96,stimulus26_A,stimuli/raw/ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE
B,amelia_consonants_42,stimulus27_B,stimuli/raw/amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,OTH,C,A,stimuli/raw/ewan.wav,ewan_83,244.9725,244.4025,s,ewan,ASSAH
B,amelia_consonants_38,stimulus28_B,stimuli/raw/amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,OTH,C,I,stimuli/raw/ewan.wav,ewan_96,277.3325,276.7625,ʃ,ewan,EESHEE
A,ewan_83,stimulus29_A,stimuli/raw/ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH
A,ewan_92,stimulus30_A,stimuli/raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_49,130.6925,129.9825,θ,amelia,ATHAH
B,amelia_consonants_46,stimulus31_B,stimuli/raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,OTH,C,I,stimuli/raw/ewan.wav,ewan_101,290.7225,290.0925,θ,ewan,EETHEE
B,amelia_consonants_49,stimulus32_B,stimuli/raw/amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ,OTH,C,A,stimuli/raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH
A,ewan_101,stimulus33_A,stimuli/raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE
A,amelia_consonants_46,stimulus34_A,stimuli/raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,OTH,C,I,stimuli/raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE
A,ewan_2,stimulus35_A,stimuli/raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_25,67.6025,66.85124,ʌ,amelia,HUHDAH
B,ewan_92,stimulus36_B,stimuli/raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_9,24.1025,23.47667,t,amelia,ATAH
B,amelia_consonants_9,stimulus37_B,stimuli/raw/amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,OTH,C,A,stimuli/raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH
A,ewan_62,stimulus38_A,stimuli/raw/ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE
A,amelia_consonants_38,stimulus39_A,stimuli/raw/amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,OTH,C,I,stimuli/raw/ewan.wav,ewan_101,290.7225,290.0925,θ,ewan,EETHEE
B,amelia_consonants_34,stimulus40_B,stimuli/raw/amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,OTH,C,A,stimuli/raw/ewan.wav,ewan_97,280.3225,279.7725,θ,ewan,ATHAH
B,ewan_101,stimulus41_B,stimuli/raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE
A,ewan_97,stimulus42_A,stimuli/raw/ewan.wav,279.7725,280.3225,ATHAH,ewan,C,A,θ,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
A,ewan_83,stimulus43_A,stimuli/raw/ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_9,24.1025,23.47667,t,amelia,ATAH
B,amelia_consonants_38,stimulus44_B,stimuli/raw/amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,OTH,C,I,stimuli/raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE
B,ewan_62,stimulus45_B,stimuli/raw/ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE
B,amelia_vowels_5,stimulus46_B,stimuli/raw/amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,OTH,V,I,stimuli/raw/ewan.wav,ewan_29,86.1325,85.39155,ʌ,ewan,HUHDI
