_CORR_ANS,item_1,_tripletid,file_1,onset_1,offset_1,word_1,speaker_1,CV_1,context_1,phone_1,_target_other,CV_2,context_2,file_2,item_2,offset_2,onset_2,phone_2,speaker_2,word_2
A,amelia_consonants_9,stimulus47_A,stimuli/raw/amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,OTH,C,A,stimuli/raw/ewan.wav,ewan_83,244.9725,244.4025,s,ewan,ASSAH
A,ewan_101,stimulus48_A,stimuli/raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE
B,amelia_consonants_55,stimulus49_B,stimuli/raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,OTH,C,I,stimuli/raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE
B,amelia_consonants_9,stimulus50_B,stimuli/raw/amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,OTH,C,A,stimuli/raw/ewan.wav,ewan_97,280.3225,279.7725,θ,ewan,ATHAH
A,ewan_59,stimulus51_A,stimuli/raw/ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_49,130.6925,129.9825,θ,amelia,ATHAH
B,ewan_29,stimulus52_B,stimuli/raw/ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_5,13.30968,12.5659,ɑ,amelia,HADI
A,amelia_vowels_25,stimulus53_A,stimuli/raw/amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,OTH,V,A,stimuli/raw/ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH
A,amelia_vowels_5,stimulus54_A,stimuli/raw/amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,OTH,V,I,stimuli/raw/ewan.wav,ewan_46,135.7425,134.9925,u,ewan,WHODI
B,ewan_2,stimulus55_B,stimuli/raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH
B,amelia_vowels_41,stimulus56_B,stimuli/raw/amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,OTH,V,A,stimuli/raw/ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH
B,ewan_2,stimulus57_B,stimuli/raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_11,28.2425,27.47216,æ,amelia,HAEDAH
A,ewan_46,stimulus58_A,stimuli/raw/ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_5,13.30968,12.5659,ɑ,amelia,HADI
A,amelia_vowels_11,stimulus59_A,stimuli/raw/amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,OTH,V,A,stimuli/raw/ewan.wav,ewan_19,55.1725,54.4125,i,ewan,HEEDAH
B,amelia_vowels_15,stimulus60_B,stimuli/raw/amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,OTH,V,I,stimuli/raw/ewan.wav,ewan_21,61.7525,60.9271,i,ewan,HEEDI
B,ewan_21,stimulus61_B,stimuli/raw/ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_15,38.4725,37.6934,æ,amelia,HAEDI
A,ewan_19,stimulus62_A,stimuli/raw/ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_11,28.2425,27.47216,æ,amelia,HAEDAH
A,ewan_10,stimulus63_A,stimuli/raw/ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH
B,ewan_14,stimulus64_B,stimuli/raw/ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_39,102.16942,101.46732,ʊ,amelia,HOODI
B,amelia_vowels_39,stimulus65_B,stimuli/raw/amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ,OTH,V,I,stimuli/raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI
A,amelia_vowels_33,stimulus66_A,stimuli/raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,OTH,V,A,stimuli/raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH
A,amelia_vowels_11,stimulus67_A,stimuli/raw/amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,OTH,V,A,stimuli/raw/ewan.wav,ewan_28,81.7525,81.0625,ʌ,ewan,HUHDAH
B,amelia_vowels_11,stimulus68_B,stimuli/raw/amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,OTH,V,A,stimuli/raw/ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH
B,ewan_10,stimulus69_B,stimuli/raw/ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_25,67.6025,66.85124,ʌ,amelia,HUHDAH
B,ewan_29,stimulus70_B,stimuli/raw/ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_15,38.4725,37.6934,æ,amelia,HAEDI
A,amelia_vowels_30,stimulus71_A,stimuli/raw/amelia_vowels.wav,79.21868,79.88909,HUHDI,amelia,V,I,ʌ,OTH,V,I,stimuli/raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI
A,ewan_10,stimulus72_A,stimuli/raw/ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH
B,ewan_14,stimulus73_B,stimuli/raw/ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_48,124.5925,123.87499,u,amelia,WHODI
B,amelia_vowels_48,stimulus74_B,stimuli/raw/amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,OTH,V,I,stimuli/raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI
A,amelia_vowels_41,stimulus75_A,stimuli/raw/amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,OTH,V,A,stimuli/raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH
A,amelia_vowels_22,stimulus76_A,stimuli/raw/amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,OTH,V,I,stimuli/raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI
B,ewan_21,stimulus77_B,stimuli/raw/ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_39,102.16942,101.46732,ʊ,amelia,HOODI
B,amelia_vowels_33,stimulus78_B,stimuli/raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,OTH,V,A,stimuli/raw/ewan.wav,ewan_19,55.1725,54.4125,i,ewan,HEEDAH
A,amelia_vowels_15,stimulus79_A,stimuli/raw/amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,OTH,V,I,stimuli/raw/ewan.wav,ewan_8,23.01587,22.3965,ɑ,ewan,HADI
A,ewan_34,stimulus80_A,stimuli/raw/ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_17,45.0725,44.25247,i,amelia,HEEDAH
A,amelia_vowels_22,stimulus81_A,stimuli/raw/amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,OTH,V,I,stimuli/raw/ewan.wav,ewan_29,86.1325,85.39155,ʌ,ewan,HUHDI
B,ewan_21,stimulus82_B,stimuli/raw/ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_30,79.88909,79.21868,ʌ,amelia,HUHDI
B,ewan_28,stimulus83_B,stimuli/raw/ewan.wav,81.0625,81.7525,HUHDAH,ewan,V,A,ʌ,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_17,45.0725,44.25247,i,amelia,HEEDAH
A,amelia_vowels_25,stimulus84_A,stimuli/raw/amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,OTH,V,A,stimuli/raw/ewan.wav,ewan_19,55.1725,54.4125,i,ewan,HEEDAH
A,amelia_vowels_17,stimulus85_A,stimuli/raw/amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,OTH,V,A,stimuli/raw/ewan.wav,ewan_43,127.0125,126.2825,u,ewan,WHODAH
B,ewan_19,stimulus86_B,stimuli/raw/ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH
B,ewan_46,stimulus87_B,stimuli/raw/ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI
A,amelia_vowels_48,stimulus88_A,stimuli/raw/amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,OTH,V,I,stimuli/raw/ewan.wav,ewan_21,61.7525,60.9271,i,ewan,HEEDI
A,ewan_34,stimulus89_A,stimuli/raw/ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_25,67.6025,66.85124,ʌ,amelia,HUHDAH
A,ewan_2,stimulus90_A,stimuli/raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_17,45.0725,44.25247,i,amelia,HEEDAH
B,amelia_vowels_39,stimulus91_B,stimuli/raw/amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ,OTH,V,I,stimuli/raw/ewan.wav,ewan_29,86.1325,85.39155,ʌ,ewan,HUHDI
B,ewan_29,stimulus92_B,stimuli/raw/ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_39,102.16942,101.46732,ʊ,amelia,HOODI
A,amelia_vowels_25,stimulus93_A,stimuli/raw/amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,OTH,V,A,stimuli/raw/ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
A,amelia_vowels_33,stimulus94_A,stimuli/raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,OTH,V,A,stimuli/raw/ewan.wav,ewan_43,127.0125,126.2825,u,ewan,WHODAH
B,ewan_34,stimulus95_B,stimuli/raw/ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH
B,ewan_46,stimulus96_B,stimuli/raw/ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_39,102.16942,101.46732,ʊ,amelia,HOODI
A,amelia_vowels_48,stimulus97_A,stimuli/raw/amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,OTH,V,I,stimuli/raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI
A,amelia_vowels_33,stimulus98_A,stimuli/raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,OTH,V,A,stimuli/raw/ewan.wav,ewan_43,127.0125,126.2825,u,ewan,WHODAH
B,ewan_37,stimulus99_B,stimuli/raw/ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_48,124.5925,123.87499,u,amelia,WHODI
B,amelia_vowels_48,stimulus100_B,stimuli/raw/amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,OTH,V,I,stimuli/raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI
B,amelia_vowels_5,stimulus101_B,stimuli/raw/amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,OTH,V,I,stimuli/raw/ewan.wav,ewan_21,61.7525,60.9271,i,ewan,HEEDI
A,ewan_43,stimulus102_A,stimuli/raw/ewan.wav,126.2825,127.0125,WHODAH,ewan,V,A,u,OTH,V,A,stimuli/raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH
A,ewan_80,stimulus103_A,stimuli/raw/ewan.wav,235.6825,236.2625,EEFEE,ewan,C,I,f,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE
B,amelia_consonants_27,stimulus104_B,stimuli/raw/amelia_consonants.wav,72.1025,72.7625,AFAH,amelia,C,A,f,OTH,C,A,stimuli/raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
B,amelia_consonants_23,stimulus105_B,stimuli/raw/amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,OTH,C,I,stimuli/raw/ewan.wav,ewan_80,236.2625,235.6825,f,ewan,EEFEE
A,ewan_68,stimulus106_A,stimuli/raw/ewan.wav,201.2425,201.7625,AKAH,ewan,C,A,k,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH
A,amelia_consonants_31,stimulus107_A,stimuli/raw/amelia_consonants.wav,82.6725,83.39679,EEFEE,amelia,C,I,f,OTH,C,I,stimuli/raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE
B,ewan_80,stimulus108_B,stimuli/raw/ewan.wav,235.6825,236.2625,EEFEE,ewan,C,I,f,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
B,amelia_consonants_3,stimulus109_B,stimuli/raw/amelia_consonants.wav,7.31359,7.93251,APAH,amelia,C,A,p,OTH,C,A,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
A,ewan_50,stimulus110_A,stimuli/raw/ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH
A,amelia_consonants_27,stimulus111_A,stimuli/raw/amelia_consonants.wav,72.1025,72.7625,AFAH,amelia,C,A,f,OTH,C,A,stimuli/raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH
B,amelia_vowels_17,stimulus112_B,stimuli/raw/amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,OTH,V,A,stimuli/raw/ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH
B,ewan_76,stimulus113_B,stimuli/raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH
B,ewan_96,stimulus114_B,stimuli/raw/ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE
A,amelia_consonants_46,stimulus115_A,stimuli/raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,OTH,C,I,stimuli/raw/ewan.wav,ewan_80,236.2625,235.6825,f,ewan,EEFEE
A,amelia_consonants_31,stimulus116_A,stimuli/raw/amelia_consonants.wav,82.6725,83.39679,EEFEE,amelia,C,I,f,OTH,C,I,stimuli/raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE
B,ewan_76,stimulus117_B,stimuli/raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
B,ewan_87,stimulus118_B,stimuli/raw/ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE
A,amelia_consonants_34,stimulus119_A,stimuli/raw/amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,OTH,C,A,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
A,ewan_76,stimulus120_A,stimuli/raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_49,130.6925,129.9825,θ,amelia,ATHAH
B,amelia_consonants_27,stimulus121_B,stimuli/raw/amelia_consonants.wav,72.1025,72.7625,AFAH,amelia,C,A,f,OTH,C,A,stimuli/raw/ewan.wav,ewan_97,280.3225,279.7725,θ,ewan,ATHAH
B,ewan_101,stimulus122_B,stimuli/raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE
A,ewan_21,stimulus123_A,stimuli/raw/ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,OTH,V,I,stimuli/raw/amelia_vowels.wav,amelia_vowels_5,13.30968,12.5659,ɑ,amelia,HADI
A,amelia_consonants_55,stimulus124_A,stimuli/raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,OTH,C,I,stimuli/raw/ewan.wav,ewan_80,236.2625,235.6825,f,ewan,EEFEE
A,amelia_consonants_31,stimulus125_A,stimuli/raw/amelia_consonants.wav,82.6725,83.39679,EEFEE,amelia,C,I,f,OTH,C,I,stimuli/raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE
B,ewan_80,stimulus126_B,stimuli/raw/ewan.wav,235.6825,236.2625,EEFEE,ewan,C,I,f,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE
B,ewan_59,stimulus127_B,stimuli/raw/ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH
A,amelia_consonants_9,stimulus128_A,stimuli/raw/amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,OTH,C,A,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
A,amelia_consonants_23,stimulus129_A,stimuli/raw/amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,OTH,C,I,stimuli/raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE
B,amelia_consonants_20,stimulus130_B,stimuli/raw/amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,OTH,C,A,stimuli/raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
B,ewan_56,stimulus131_B,stimuli/raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE
A,ewan_50,stimulus132_A,stimuli/raw/ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH
A,ewan_71,stimulus133_A,stimuli/raw/ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE
A,amelia_vowels_5,stimulus134_A,stimuli/raw/amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,OTH,V,I,stimuli/raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI
B,amelia_consonants_23,stimulus135_B,stimuli/raw/amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,OTH,C,I,stimuli/raw/ewan.wav,ewan_96,277.3325,276.7625,ʃ,ewan,EESHEE
B,ewan_92,stimulus136_B,stimuli/raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH
A,amelia_consonants_42,stimulus137_A,stimuli/raw/amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,OTH,C,A,stimuli/raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
A,ewan_71,stimulus138_A,stimuli/raw/ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,OTH,C,I,stimuli/raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE
B,amelia_consonants_23,stimulus139_B,stimuli/raw/amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,OTH,C,I,stimuli/raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE
B,ewan_83,stimulus140_B,stimuli/raw/ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH
A,amelia_consonants_34,stimulus141_A,stimuli/raw/amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,OTH,C,A,stimuli/raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
A,ewan_68,stimulus142_A,stimuli/raw/ewan.wav,201.2425,201.7625,AKAH,ewan,C,A,k,OTH,C,A,stimuli/raw/amelia_consonants.wav,amelia_consonants_49,130.6925,129.9825,θ,amelia,ATHAH
B,amelia_consonants_20,stimulus143_B,stimuli/raw/amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,OTH,C,A,stimuli/raw/ewan.wav,ewan_97,280.3225,279.7725,θ,ewan,ATHAH
B,amelia_consonants_55,stimulus144_B,stimuli/raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,OTH,C,I,stimuli/raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE
