CORR_ANS,item_TGT,item_OTH,item_X,tripletid,file_TGT,onset_TGT,offset_TGT,word_TGT,speaker_TGT,CV_TGT,context_TGT,phone_TGT,file_OTH,onset_OTH,offset_OTH,word_OTH,speaker_OTH,CV_OTH,context_OTH,phone_OTH,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X
A,amelia_vowels_5,amelia_vowels_15,ewan_8,stimulus1_A,amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,ewan.wav,22.3965,23.01587,HADI,ewan,V,I,ɑ
B,amelia_vowels_1,amelia_vowels_33,ewan_2,stimulus2_B,amelia_vowels.wav,2.19827,2.9625,HADAH,amelia,V,A,ɑ,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ
A,amelia_consonants_55,amelia_consonants_23,ewan_101,stimulus3_A,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ
A,amelia_consonants_23,amelia_consonants_14,ewan_71,stimulus4_A,amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k
B,ewan_68,ewan_59,amelia_consonants_20,stimulus5_B,ewan.wav,201.2425,201.7625,AKAH,ewan,C,A,k,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k
B,amelia_consonants_9,amelia_consonants_20,ewan_59,stimulus6_B,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t
A,ewan_62,ewan_71,amelia_consonants_14,stimulus7_A,ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t
A,amelia_consonants_7,amelia_consonants_46,ewan_56,stimulus8_A,amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p
B,ewan_50,ewan_92,amelia_consonants_3,stimulus9_B,ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,amelia_consonants.wav,7.31359,7.93251,APAH,amelia,C,A,p
B,ewan_96,ewan_56,amelia_consonants_46,stimulus10_B,ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ
A,amelia_consonants_42,amelia_consonants_3,ewan_92,stimulus11_A,amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,amelia_consonants.wav,7.31359,7.93251,APAH,amelia,C,A,p,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ
A,ewan_50,ewan_83,amelia_consonants_3,stimulus12_A,ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,amelia_consonants.wav,7.31359,7.93251,APAH,amelia,C,A,p
B,ewan_34,ewan_2,amelia_vowels_33,stimulus13_B,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ
B,ewan_56,ewan_87,amelia_consonants_7,stimulus14_B,ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p
B,amelia_consonants_34,amelia_consonants_3,ewan_83,stimulus15_B,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,amelia_consonants.wav,7.31359,7.93251,APAH,amelia,C,A,p,ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s
A,amelia_consonants_38,amelia_consonants_7,ewan_87,stimulus16_A,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s
A,amelia_consonants_3,amelia_consonants_49,ewan_50,stimulus17_A,amelia_consonants.wav,7.31359,7.93251,APAH,amelia,C,A,p,amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ,ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p
B,amelia_consonants_7,amelia_consonants_55,ewan_56,stimulus18_B,amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p
B,ewan_101,ewan_56,amelia_consonants_55,stimulus19_B,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ
A,ewan_97,ewan_50,amelia_consonants_49,stimulus20_A,ewan.wav,279.7725,280.3225,ATHAH,ewan,C,A,θ,ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ
A,ewan_56,ewan_62,amelia_consonants_7,stimulus21_A,ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p
B,amelia_consonants_7,amelia_consonants_14,ewan_56,stimulus22_B,amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p
B,ewan_59,ewan_50,amelia_consonants_9,stimulus23_B,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t
A,amelia_vowels_39,amelia_vowels_5,ewan_37,stimulus24_A,amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ,amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ
A,amelia_consonants_9,amelia_consonants_3,ewan_59,stimulus25_A,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,amelia_consonants.wav,7.31359,7.93251,APAH,amelia,C,A,p,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t
A,amelia_consonants_46,amelia_consonants_38,ewan_96,stimulus26_A,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ
B,ewan_92,ewan_83,amelia_consonants_42,stimulus27_B,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ
B,ewan_87,ewan_96,amelia_consonants_38,stimulus28_B,ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s
A,amelia_consonants_34,amelia_consonants_42,ewan_83,stimulus29_A,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s
A,amelia_consonants_42,amelia_consonants_49,ewan_92,stimulus30_A,amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ
B,ewan_96,ewan_101,amelia_consonants_46,stimulus31_B,ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ
B,ewan_97,ewan_92,amelia_consonants_49,stimulus32_B,ewan.wav,279.7725,280.3225,ATHAH,ewan,C,A,θ,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ
A,amelia_consonants_55,amelia_consonants_46,ewan_101,stimulus33_A,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ
A,ewan_96,ewan_62,amelia_consonants_46,stimulus34_A,ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ
A,amelia_vowels_1,amelia_vowels_25,ewan_2,stimulus35_A,amelia_vowels.wav,2.19827,2.9625,HADAH,amelia,V,A,ɑ,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ
B,amelia_consonants_42,amelia_consonants_9,ewan_92,stimulus36_B,amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ
B,ewan_59,ewan_92,amelia_consonants_9,stimulus37_B,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t
A,amelia_consonants_14,amelia_consonants_46,ewan_62,stimulus38_A,amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t
A,ewan_87,ewan_101,amelia_consonants_38,stimulus39_A,ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s
B,ewan_83,ewan_97,amelia_consonants_34,stimulus40_B,ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,ewan.wav,279.7725,280.3225,ATHAH,ewan,C,A,θ,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s
B,amelia_consonants_55,amelia_consonants_38,ewan_101,stimulus41_B,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ
A,amelia_consonants_49,amelia_consonants_34,ewan_97,stimulus42_A,amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,ewan.wav,279.7725,280.3225,ATHAH,ewan,C,A,θ
A,amelia_consonants_34,amelia_consonants_9,ewan_83,stimulus43_A,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s
B,ewan_87,ewan_62,amelia_consonants_38,stimulus44_B,ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s
B,amelia_consonants_14,amelia_consonants_38,ewan_62,stimulus45_B,amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t
B,ewan_8,ewan_29,amelia_vowels_5,stimulus46_B,ewan.wav,22.3965,23.01587,HADI,ewan,V,I,ɑ,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ
A,ewan_59,ewan_83,amelia_consonants_9,stimulus47_A,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t
A,amelia_consonants_55,amelia_consonants_14,ewan_101,stimulus48_A,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ
B,ewan_101,ewan_62,amelia_consonants_55,stimulus49_B,ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ
B,ewan_59,ewan_97,amelia_consonants_9,stimulus50_B,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,ewan.wav,279.7725,280.3225,ATHAH,ewan,C,A,θ,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t
A,amelia_consonants_9,amelia_consonants_49,ewan_59,stimulus51_A,amelia_consonants.wav,23.47667,24.1025,ATAH,amelia,C,A,t,amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ,ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t
B,amelia_vowels_30,amelia_vowels_5,ewan_29,stimulus52_B,amelia_vowels.wav,79.21868,79.88909,HUHDI,amelia,V,I,ʌ,amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ
A,ewan_28,ewan_2,amelia_vowels_25,stimulus53_A,ewan.wav,81.0625,81.7525,HUHDAH,ewan,V,A,ʌ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ
A,ewan_8,ewan_46,amelia_vowels_5,stimulus54_A,ewan.wav,22.3965,23.01587,HADI,ewan,V,I,ɑ,ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ
B,amelia_vowels_1,amelia_vowels_41,ewan_2,stimulus55_B,amelia_vowels.wav,2.19827,2.9625,HADAH,amelia,V,A,ɑ,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ
B,ewan_43,ewan_2,amelia_vowels_41,stimulus56_B,ewan.wav,126.2825,127.0125,WHODAH,ewan,V,A,u,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u
B,amelia_vowels_1,amelia_vowels_11,ewan_2,stimulus57_B,amelia_vowels.wav,2.19827,2.9625,HADAH,amelia,V,A,ɑ,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ
A,amelia_vowels_48,amelia_vowels_5,ewan_46,stimulus58_A,amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u
A,ewan_10,ewan_19,amelia_vowels_11,stimulus59_A,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ
B,ewan_14,ewan_21,amelia_vowels_15,stimulus60_B,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ
B,amelia_vowels_22,amelia_vowels_15,ewan_21,stimulus61_B,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i
A,amelia_vowels_17,amelia_vowels_11,ewan_19,stimulus62_A,amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i
A,amelia_vowels_11,amelia_vowels_33,ewan_10,stimulus63_A,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ
B,amelia_vowels_15,amelia_vowels_39,ewan_14,stimulus64_B,amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ
B,ewan_37,ewan_14,amelia_vowels_39,stimulus65_B,ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ
A,ewan_34,ewan_10,amelia_vowels_33,stimulus66_A,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ
A,ewan_10,ewan_28,amelia_vowels_11,stimulus67_A,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,ewan.wav,81.0625,81.7525,HUHDAH,ewan,V,A,ʌ,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ
B,ewan_10,ewan_2,amelia_vowels_11,stimulus68_B,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ
B,amelia_vowels_11,amelia_vowels_25,ewan_10,stimulus69_B,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ
B,amelia_vowels_30,amelia_vowels_15,ewan_29,stimulus70_B,amelia_vowels.wav,79.21868,79.88909,HUHDI,amelia,V,I,ʌ,amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ
A,ewan_29,ewan_14,amelia_vowels_30,stimulus71_A,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,amelia_vowels.wav,79.21868,79.88909,HUHDI,amelia,V,I,ʌ
