_d_experiment,_d_id,_d_coef_econ,_d_coef_loc,_d_coef_glob,_m_pos_vars,_m_neg_vars,_m_stanfile,seed,is_correct_model
hk,dinst1,-1,-1,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,4067.8374001863413,FALSE
hk,dinst1,-1,-1,-1,Econ+Glob,Loc,stan_models/master_model.stan,3943.4863214774523,FALSE
hk,dinst1,-1,-1,-1,Econ+Loc,Glob,stan_models/master_model.stan,7507.723046432715,FALSE
hk,dinst1,-1,-1,-1,Glob+Loc,Econ,stan_models/master_model.stan,3022.699797833571,FALSE
hk,dinst1,-1,-1,-1,Econ,Glob+Loc,stan_models/master_model.stan,9584.925500901649,FALSE
hk,dinst1,-1,-1,-1,Glob,Econ+Loc,stan_models/master_model.stan,7351.053621989908,FALSE
hk,dinst1,-1,-1,-1,Loc,Econ+Glob,stan_models/master_model.stan,5486.339928144356,FALSE
hk,dinst1,-1,-1,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,2837.8798660859466,TRUE
hk,dinst1,0,-1,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,1325.88657223084,FALSE
hk,dinst1,0,-1,-1,Econ+Glob,Loc,stan_models/master_model.stan,8001.23085516179,FALSE
hk,dinst1,0,-1,-1,Econ+Loc,Glob,stan_models/master_model.stan,6200.996831203578,FALSE
hk,dinst1,0,-1,-1,Glob+Loc,Econ,stan_models/master_model.stan,6663.590983970324,FALSE
hk,dinst1,0,-1,-1,Econ,Glob+Loc,stan_models/master_model.stan,1013.0012460520957,FALSE
hk,dinst1,0,-1,-1,Glob,Econ+Loc,stan_models/master_model.stan,7828.522521478357,FALSE
hk,dinst1,0,-1,-1,Loc,Econ+Glob,stan_models/master_model.stan,1297.2770921988413,FALSE
hk,dinst1,0,-1,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,8842.486631573644,TRUE
hk,dinst1,1,-1,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,3982.769497503992,FALSE
hk,dinst1,1,-1,-1,Econ+Glob,Loc,stan_models/master_model.stan,1307.2646909332834,FALSE
hk,dinst1,1,-1,-1,Econ+Loc,Glob,stan_models/master_model.stan,2329.8910903171636,FALSE
hk,dinst1,1,-1,-1,Glob+Loc,Econ,stan_models/master_model.stan,8546.302942692768,FALSE
hk,dinst1,1,-1,-1,Econ,Glob+Loc,stan_models/master_model.stan,8739.222109815106,TRUE
hk,dinst1,1,-1,-1,Glob,Econ+Loc,stan_models/master_model.stan,4162.047768978868,FALSE
hk,dinst1,1,-1,-1,Loc,Econ+Glob,stan_models/master_model.stan,7604.132434398867,FALSE
hk,dinst1,1,-1,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,1071.1641840895172,FALSE
hk,dinst1,-1,0,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,2405.8259555874392,FALSE
hk,dinst1,-1,0,-1,Econ+Glob,Loc,stan_models/master_model.stan,3790.5707527589984,FALSE
hk,dinst1,-1,0,-1,Econ+Loc,Glob,stan_models/master_model.stan,9913.32643426396,FALSE
hk,dinst1,-1,0,-1,Glob+Loc,Econ,stan_models/master_model.stan,381.98211238719523,FALSE
hk,dinst1,-1,0,-1,Econ,Glob+Loc,stan_models/master_model.stan,3932.4718397404067,FALSE
hk,dinst1,-1,0,-1,Glob,Econ+Loc,stan_models/master_model.stan,4009.6713076091837,FALSE
hk,dinst1,-1,0,-1,Loc,Econ+Glob,stan_models/master_model.stan,5870.259098615497,FALSE
hk,dinst1,-1,0,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,570.3200450502336,TRUE
hk,dinst1,0,0,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,8321.532809237484,FALSE
hk,dinst1,0,0,-1,Econ+Glob,Loc,stan_models/master_model.stan,6905.911258398322,FALSE
hk,dinst1,0,0,-1,Econ+Loc,Glob,stan_models/master_model.stan,5313.835098359035,FALSE
hk,dinst1,0,0,-1,Glob+Loc,Econ,stan_models/master_model.stan,8566.637434089324,FALSE
hk,dinst1,0,0,-1,Econ,Glob+Loc,stan_models/master_model.stan,5864.058693619445,FALSE
hk,dinst1,0,0,-1,Glob,Econ+Loc,stan_models/master_model.stan,2583.802191368304,FALSE
hk,dinst1,0,0,-1,Loc,Econ+Glob,stan_models/master_model.stan,4692.357881673612,FALSE
hk,dinst1,0,0,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,3413.1807275735773,TRUE
hk,dinst1,1,0,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,2000.8788281066809,FALSE
hk,dinst1,1,0,-1,Econ+Glob,Loc,stan_models/master_model.stan,2948.1199528845027,FALSE
hk,dinst1,1,0,-1,Econ+Loc,Glob,stan_models/master_model.stan,3314.5893619325943,FALSE
hk,dinst1,1,0,-1,Glob+Loc,Econ,stan_models/master_model.stan,7027.99200438289,FALSE
hk,dinst1,1,0,-1,Econ,Glob+Loc,stan_models/master_model.stan,83.43048396799713,TRUE
hk,dinst1,1,0,-1,Glob,Econ+Loc,stan_models/master_model.stan,7610.347641286906,FALSE
hk,dinst1,1,0,-1,Loc,Econ+Glob,stan_models/master_model.stan,7918.928000845015,FALSE
hk,dinst1,1,0,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,3016.1663688924164,FALSE
hk,dinst1,-1,1,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,8156.507537506754,FALSE
hk,dinst1,-1,1,-1,Econ+Glob,Loc,stan_models/master_model.stan,6623.625130623812,FALSE
hk,dinst1,-1,1,-1,Econ+Loc,Glob,stan_models/master_model.stan,8759.862563629169,FALSE
hk,dinst1,-1,1,-1,Glob+Loc,Econ,stan_models/master_model.stan,1369.2114330339245,FALSE
hk,dinst1,-1,1,-1,Econ,Glob+Loc,stan_models/master_model.stan,4015.6723224131856,FALSE
hk,dinst1,-1,1,-1,Glob,Econ+Loc,stan_models/master_model.stan,697.0125837882515,FALSE
hk,dinst1,-1,1,-1,Loc,Econ+Glob,stan_models/master_model.stan,5165.95387939387,TRUE
hk,dinst1,-1,1,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,8142.300584730459,FALSE
hk,dinst1,0,1,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,2955.289306771476,FALSE
hk,dinst1,0,1,-1,Econ+Glob,Loc,stan_models/master_model.stan,5395.0039782873355,FALSE
hk,dinst1,0,1,-1,Econ+Loc,Glob,stan_models/master_model.stan,5581.054897578666,FALSE
hk,dinst1,0,1,-1,Glob+Loc,Econ,stan_models/master_model.stan,9125.94321232196,FALSE
hk,dinst1,0,1,-1,Econ,Glob+Loc,stan_models/master_model.stan,2248.6653890963644,FALSE
hk,dinst1,0,1,-1,Glob,Econ+Loc,stan_models/master_model.stan,6863.722248411039,FALSE
hk,dinst1,0,1,-1,Loc,Econ+Glob,stan_models/master_model.stan,7240.623780895956,TRUE
hk,dinst1,0,1,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,3579.532298181439,FALSE
hk,dinst1,1,1,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,1610.69979829574,FALSE
hk,dinst1,1,1,-1,Econ+Glob,Loc,stan_models/master_model.stan,8185.899841601029,FALSE
hk,dinst1,1,1,-1,Econ+Loc,Glob,stan_models/master_model.stan,1268.064669039799,TRUE
hk,dinst1,1,1,-1,Glob+Loc,Econ,stan_models/master_model.stan,7689.222013774561,FALSE
hk,dinst1,1,1,-1,Econ,Glob+Loc,stan_models/master_model.stan,5442.069671571022,FALSE
hk,dinst1,1,1,-1,Glob,Econ+Loc,stan_models/master_model.stan,8183.869949990651,FALSE
hk,dinst1,1,1,-1,Loc,Econ+Glob,stan_models/master_model.stan,8557.5913176334,FALSE
hk,dinst1,1,1,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,4135.656219062395,FALSE
hk,dinst1,-1,-1,0,Econ+Glob+Loc,,stan_models/master_pos.stan,7394.725870952243,FALSE
hk,dinst1,-1,-1,0,Econ+Glob,Loc,stan_models/master_model.stan,4619.300559613621,FALSE
hk,dinst1,-1,-1,0,Econ+Loc,Glob,stan_models/master_model.stan,2921.8163156835362,FALSE
hk,dinst1,-1,-1,0,Glob+Loc,Econ,stan_models/master_model.stan,7556.800758705707,FALSE
hk,dinst1,-1,-1,0,Econ,Glob+Loc,stan_models/master_model.stan,7919.982534377836,FALSE
hk,dinst1,-1,-1,0,Glob,Econ+Loc,stan_models/master_model.stan,4169.928943011211,FALSE
hk,dinst1,-1,-1,0,Loc,Econ+Glob,stan_models/master_model.stan,2954.4354694799986,FALSE
hk,dinst1,-1,-1,0,,Econ+Glob+Loc,stan_models/master_neg.stan,7105.0384875508025,TRUE
hk,dinst1,0,-1,0,Econ+Glob+Loc,,stan_models/master_pos.stan,7985.001034573186,FALSE
hk,dinst1,0,-1,0,Econ+Glob,Loc,stan_models/master_model.stan,6189.227799858199,FALSE
hk,dinst1,0,-1,0,Econ+Loc,Glob,stan_models/master_model.stan,5721.024626336992,FALSE
hk,dinst1,0,-1,0,Glob+Loc,Econ,stan_models/master_model.stan,7497.701492744731,FALSE
hk,dinst1,0,-1,0,Econ,Glob+Loc,stan_models/master_model.stan,870.6364999313373,FALSE
hk,dinst1,0,-1,0,Glob,Econ+Loc,stan_models/master_model.stan,2667.644915050594,FALSE
hk,dinst1,0,-1,0,Loc,Econ+Glob,stan_models/master_model.stan,3735.035171501804,FALSE
hk,dinst1,0,-1,0,,Econ+Glob+Loc,stan_models/master_neg.stan,9769.844101064838,TRUE
hk,dinst1,1,-1,0,Econ+Glob+Loc,,stan_models/master_pos.stan,757.6336881846655,FALSE
hk,dinst1,1,-1,0,Econ+Glob,Loc,stan_models/master_model.stan,2945.5242648895364,FALSE
hk,dinst1,1,-1,0,Econ+Loc,Glob,stan_models/master_model.stan,9435.012905015144,FALSE
hk,dinst1,1,-1,0,Glob+Loc,Econ,stan_models/master_model.stan,1165.7983111678623,FALSE
hk,dinst1,1,-1,0,Econ,Glob+Loc,stan_models/master_model.stan,4357.419731594389,TRUE
hk,dinst1,1,-1,0,Glob,Econ+Loc,stan_models/master_model.stan,7486.148427475477,FALSE
hk,dinst1,1,-1,0,Loc,Econ+Glob,stan_models/master_model.stan,3847.263235273538,FALSE
hk,dinst1,1,-1,0,,Econ+Glob+Loc,stan_models/master_neg.stan,8515.382931089494,FALSE
hk,dinst1,-1,0,0,Econ+Glob+Loc,,stan_models/master_pos.stan,7974.683182301233,FALSE
hk,dinst1,-1,0,0,Econ+Glob,Loc,stan_models/master_model.stan,3803.4034343734384,FALSE
hk,dinst1,-1,0,0,Econ+Loc,Glob,stan_models/master_model.stan,1688.7286540269852,FALSE
hk,dinst1,-1,0,0,Glob+Loc,Econ,stan_models/master_model.stan,9040.960205171723,FALSE
hk,dinst1,-1,0,0,Econ,Glob+Loc,stan_models/master_model.stan,5987.564546581125,FALSE
hk,dinst1,-1,0,0,Glob,Econ+Loc,stan_models/master_model.stan,5002.128876275616,FALSE
hk,dinst1,-1,0,0,Loc,Econ+Glob,stan_models/master_model.stan,987.5479819690809,FALSE
hk,dinst1,-1,0,0,,Econ+Glob+Loc,stan_models/master_neg.stan,8921.787558363518,TRUE
hk,dinst1,0,0,0,Econ+Glob+Loc,,stan_models/master_pos.stan,7592.100628729444,FALSE
hk,dinst1,0,0,0,Econ+Glob,Loc,stan_models/master_model.stan,7525.059854380554,FALSE
hk,dinst1,0,0,0,Econ+Loc,Glob,stan_models/master_model.stan,8887.80329437484,FALSE
hk,dinst1,0,0,0,Glob+Loc,Econ,stan_models/master_model.stan,5810.634644857841,FALSE
hk,dinst1,0,0,0,Econ,Glob+Loc,stan_models/master_model.stan,7257.980489216978,FALSE
hk,dinst1,0,0,0,Glob,Econ+Loc,stan_models/master_model.stan,5201.289783340879,FALSE
hk,dinst1,0,0,0,Loc,Econ+Glob,stan_models/master_model.stan,1964.3484408101067,FALSE
hk,dinst1,0,0,0,,Econ+Glob+Loc,stan_models/master_neg.stan,6465.703526183264,TRUE
hk,dinst1,1,0,0,Econ+Glob+Loc,,stan_models/master_pos.stan,5847.752980159363,FALSE
hk,dinst1,1,0,0,Econ+Glob,Loc,stan_models/master_model.stan,3089.4957542901393,FALSE
hk,dinst1,1,0,0,Econ+Loc,Glob,stan_models/master_model.stan,4018.5137548737694,FALSE
hk,dinst1,1,0,0,Glob+Loc,Econ,stan_models/master_model.stan,4481.835772869177,FALSE
hk,dinst1,1,0,0,Econ,Glob+Loc,stan_models/master_model.stan,2551.0389903455507,TRUE
hk,dinst1,1,0,0,Glob,Econ+Loc,stan_models/master_model.stan,410.5729771426413,FALSE
hk,dinst1,1,0,0,Loc,Econ+Glob,stan_models/master_model.stan,6779.494479978923,FALSE
hk,dinst1,1,0,0,,Econ+Glob+Loc,stan_models/master_neg.stan,1681.5494849816896,FALSE
hk,dinst1,-1,1,0,Econ+Glob+Loc,,stan_models/master_pos.stan,470.2921159819234,FALSE
hk,dinst1,-1,1,0,Econ+Glob,Loc,stan_models/master_model.stan,6037.954230766278,FALSE
hk,dinst1,-1,1,0,Econ+Loc,Glob,stan_models/master_model.stan,4156.674174667802,FALSE
hk,dinst1,-1,1,0,Glob+Loc,Econ,stan_models/master_model.stan,220.23548999638297,FALSE
hk,dinst1,-1,1,0,Econ,Glob+Loc,stan_models/master_model.stan,8226.525866779964,FALSE
hk,dinst1,-1,1,0,Glob,Econ+Loc,stan_models/master_model.stan,6057.515953050461,FALSE
hk,dinst1,-1,1,0,Loc,Econ+Glob,stan_models/master_model.stan,6035.828343368834,TRUE
hk,dinst1,-1,1,0,,Econ+Glob+Loc,stan_models/master_neg.stan,9083.174644707004,FALSE
hk,dinst1,0,1,0,Econ+Glob+Loc,,stan_models/master_pos.stan,629.4247330946382,FALSE
hk,dinst1,0,1,0,Econ+Glob,Loc,stan_models/master_model.stan,3684.2742643398233,FALSE
hk,dinst1,0,1,0,Econ+Loc,Glob,stan_models/master_model.stan,8452.796620607842,FALSE
hk,dinst1,0,1,0,Glob+Loc,Econ,stan_models/master_model.stan,5866.5075616524555,FALSE
hk,dinst1,0,1,0,Econ,Glob+Loc,stan_models/master_model.stan,3526.4755332961213,FALSE
hk,dinst1,0,1,0,Glob,Econ+Loc,stan_models/master_model.stan,5840.5854701066855,FALSE
hk,dinst1,0,1,0,Loc,Econ+Glob,stan_models/master_model.stan,2018.262123028282,TRUE
hk,dinst1,0,1,0,,Econ+Glob+Loc,stan_models/master_neg.stan,1280.0607411074452,FALSE
hk,dinst1,1,1,0,Econ+Glob+Loc,,stan_models/master_pos.stan,8855.204883714207,FALSE
hk,dinst1,1,1,0,Econ+Glob,Loc,stan_models/master_model.stan,5203.109910863219,FALSE
hk,dinst1,1,1,0,Econ+Loc,Glob,stan_models/master_model.stan,8045.916689170292,TRUE
hk,dinst1,1,1,0,Glob+Loc,Econ,stan_models/master_model.stan,1151.7883320432156,FALSE
hk,dinst1,1,1,0,Econ,Glob+Loc,stan_models/master_model.stan,5704.33549312246,FALSE
hk,dinst1,1,1,0,Glob,Econ+Loc,stan_models/master_model.stan,2228.98777530808,FALSE
hk,dinst1,1,1,0,Loc,Econ+Glob,stan_models/master_model.stan,53.8015544724185,FALSE
hk,dinst1,1,1,0,,Econ+Glob+Loc,stan_models/master_neg.stan,4340.704379614908,FALSE
hk,dinst1,-1,-1,1,Econ+Glob+Loc,,stan_models/master_pos.stan,421.3293523432221,FALSE
hk,dinst1,-1,-1,1,Econ+Glob,Loc,stan_models/master_model.stan,125.84914677613415,FALSE
hk,dinst1,-1,-1,1,Econ+Loc,Glob,stan_models/master_model.stan,7085.8632650624495,FALSE
hk,dinst1,-1,-1,1,Glob+Loc,Econ,stan_models/master_model.stan,7976.349861836061,FALSE
hk,dinst1,-1,-1,1,Econ,Glob+Loc,stan_models/master_model.stan,9500.354260130087,FALSE
hk,dinst1,-1,-1,1,Glob,Econ+Loc,stan_models/master_model.stan,8847.414243808249,TRUE
hk,dinst1,-1,-1,1,Loc,Econ+Glob,stan_models/master_model.stan,5606.585537516046,FALSE
hk,dinst1,-1,-1,1,,Econ+Glob+Loc,stan_models/master_neg.stan,2491.6227385385428,FALSE
hk,dinst1,0,-1,1,Econ+Glob+Loc,,stan_models/master_pos.stan,1338.1529895178974,FALSE
hk,dinst1,0,-1,1,Econ+Glob,Loc,stan_models/master_model.stan,5346.515766844386,FALSE
hk,dinst1,0,-1,1,Econ+Loc,Glob,stan_models/master_model.stan,4385.769759463379,FALSE
hk,dinst1,0,-1,1,Glob+Loc,Econ,stan_models/master_model.stan,8972.328162248246,FALSE
hk,dinst1,0,-1,1,Econ,Glob+Loc,stan_models/master_model.stan,8152.044059338514,FALSE
hk,dinst1,0,-1,1,Glob,Econ+Loc,stan_models/master_model.stan,7725.13327084831,TRUE
hk,dinst1,0,-1,1,Loc,Econ+Glob,stan_models/master_model.stan,8762.55263871234,FALSE
hk,dinst1,0,-1,1,,Econ+Glob+Loc,stan_models/master_neg.stan,8179.439225489972,FALSE
hk,dinst1,1,-1,1,Econ+Glob+Loc,,stan_models/master_pos.stan,792.832852728432,FALSE
hk,dinst1,1,-1,1,Econ+Glob,Loc,stan_models/master_model.stan,7391.037245522253,TRUE
hk,dinst1,1,-1,1,Econ+Loc,Glob,stan_models/master_model.stan,4722.440899597947,FALSE
hk,dinst1,1,-1,1,Glob+Loc,Econ,stan_models/master_model.stan,1152.775784463156,FALSE
hk,dinst1,1,-1,1,Econ,Glob+Loc,stan_models/master_model.stan,3274.4373604767025,FALSE
hk,dinst1,1,-1,1,Glob,Econ+Loc,stan_models/master_model.stan,2316.080350059783,FALSE
hk,dinst1,1,-1,1,Loc,Econ+Glob,stan_models/master_model.stan,4821.4296930122655,FALSE
hk,dinst1,1,-1,1,,Econ+Glob+Loc,stan_models/master_neg.stan,3524.522849918809,FALSE
hk,dinst1,-1,0,1,Econ+Glob+Loc,,stan_models/master_pos.stan,4173.54051851714,FALSE
hk,dinst1,-1,0,1,Econ+Glob,Loc,stan_models/master_model.stan,6550.788903386099,FALSE
hk,dinst1,-1,0,1,Econ+Loc,Glob,stan_models/master_model.stan,167.20634072017856,FALSE
hk,dinst1,-1,0,1,Glob+Loc,Econ,stan_models/master_model.stan,6426.916402112227,FALSE
hk,dinst1,-1,0,1,Econ,Glob+Loc,stan_models/master_model.stan,1244.694027434336,FALSE
hk,dinst1,-1,0,1,Glob,Econ+Loc,stan_models/master_model.stan,3246.0642078525852,TRUE
hk,dinst1,-1,0,1,Loc,Econ+Glob,stan_models/master_model.stan,7062.3938316535205,FALSE
hk,dinst1,-1,0,1,,Econ+Glob+Loc,stan_models/master_neg.stan,1715.290849410696,FALSE
hk,dinst1,0,0,1,Econ+Glob+Loc,,stan_models/master_pos.stan,4611.077708186582,FALSE
hk,dinst1,0,0,1,Econ+Glob,Loc,stan_models/master_model.stan,6486.01814514352,FALSE
hk,dinst1,0,0,1,Econ+Loc,Glob,stan_models/master_model.stan,4926.628988277866,FALSE
hk,dinst1,0,0,1,Glob+Loc,Econ,stan_models/master_model.stan,8226.94108801987,FALSE
hk,dinst1,0,0,1,Econ,Glob+Loc,stan_models/master_model.stan,4637.7413726584055,FALSE
hk,dinst1,0,0,1,Glob,Econ+Loc,stan_models/master_model.stan,490.0869156832341,TRUE
hk,dinst1,0,0,1,Loc,Econ+Glob,stan_models/master_model.stan,6717.583869580645,FALSE
hk,dinst1,0,0,1,,Econ+Glob+Loc,stan_models/master_neg.stan,6227.588225286454,FALSE
hk,dinst1,1,0,1,Econ+Glob+Loc,,stan_models/master_pos.stan,6784.090721200686,FALSE
hk,dinst1,1,0,1,Econ+Glob,Loc,stan_models/master_model.stan,193.7475508484058,TRUE
hk,dinst1,1,0,1,Econ+Loc,Glob,stan_models/master_model.stan,1386.9079609469045,FALSE
hk,dinst1,1,0,1,Glob+Loc,Econ,stan_models/master_model.stan,8681.15110042016,FALSE
hk,dinst1,1,0,1,Econ,Glob+Loc,stan_models/master_model.stan,5609.049409983447,FALSE
hk,dinst1,1,0,1,Glob,Econ+Loc,stan_models/master_model.stan,3805.3384453440085,FALSE
hk,dinst1,1,0,1,Loc,Econ+Glob,stan_models/master_model.stan,689.0763577993494,FALSE
hk,dinst1,1,0,1,,Econ+Glob+Loc,stan_models/master_neg.stan,565.5639629508369,FALSE
hk,dinst1,-1,1,1,Econ+Glob+Loc,,stan_models/master_pos.stan,9738.650934257312,FALSE
hk,dinst1,-1,1,1,Econ+Glob,Loc,stan_models/master_model.stan,4891.389692401281,FALSE
hk,dinst1,-1,1,1,Econ+Loc,Glob,stan_models/master_model.stan,4734.0038312431425,FALSE
hk,dinst1,-1,1,1,Glob+Loc,Econ,stan_models/master_model.stan,9148.64268194721,TRUE
hk,dinst1,-1,1,1,Econ,Glob+Loc,stan_models/master_model.stan,2546.168283214094,FALSE
hk,dinst1,-1,1,1,Glob,Econ+Loc,stan_models/master_model.stan,8613.180144262034,FALSE
hk,dinst1,-1,1,1,Loc,Econ+Glob,stan_models/master_model.stan,9288.893721151631,FALSE
hk,dinst1,-1,1,1,,Econ+Glob+Loc,stan_models/master_neg.stan,7593.237790250685,FALSE
hk,dinst1,0,1,1,Econ+Glob+Loc,,stan_models/master_pos.stan,7614.458528051386,FALSE
hk,dinst1,0,1,1,Econ+Glob,Loc,stan_models/master_model.stan,8609.334050261416,FALSE
hk,dinst1,0,1,1,Econ+Loc,Glob,stan_models/master_model.stan,8517.392673222814,FALSE
hk,dinst1,0,1,1,Glob+Loc,Econ,stan_models/master_model.stan,7104.994130764389,TRUE
hk,dinst1,0,1,1,Econ,Glob+Loc,stan_models/master_model.stan,3527.7257809927687,FALSE
hk,dinst1,0,1,1,Glob,Econ+Loc,stan_models/master_model.stan,3942.8157827332616,FALSE
hk,dinst1,0,1,1,Loc,Econ+Glob,stan_models/master_model.stan,717.3818682448473,FALSE
hk,dinst1,0,1,1,,Econ+Glob+Loc,stan_models/master_neg.stan,7813.269676978467,FALSE
hk,dinst1,1,1,1,Econ+Glob+Loc,,stan_models/master_pos.stan,3534.827048039064,TRUE
hk,dinst1,1,1,1,Econ+Glob,Loc,stan_models/master_model.stan,5555.081220577937,FALSE
hk,dinst1,1,1,1,Econ+Loc,Glob,stan_models/master_model.stan,6913.925689035794,FALSE
hk,dinst1,1,1,1,Glob+Loc,Econ,stan_models/master_model.stan,4790.130393985193,FALSE
hk,dinst1,1,1,1,Econ,Glob+Loc,stan_models/master_model.stan,3979.5441820023116,FALSE
hk,dinst1,1,1,1,Glob,Econ+Loc,stan_models/master_model.stan,2863.835479563568,FALSE
hk,dinst1,1,1,1,Loc,Econ+Glob,stan_models/master_model.stan,3700.5454501402564,FALSE
hk,dinst1,1,1,1,,Econ+Glob+Loc,stan_models/master_neg.stan,2381.6134732537903,FALSE
