Phone_NOTENG,Phone_ENG,Acoustic distance category,Econ,Loc,Glob
bʰ,b,0.06188532,0.01668520578,0.1062291435,0.1683644595
bʰ,d,-0.66428426,0.01668520578,0.1062291435,0.1683644595
d̪ʰ,d,0.30164057,0.2001093494,0.1550027337,0.2191323693
d̪ʰ,t,-0.11503791,0.2001093494,0.1550027337,0.2191323693
ɖ,d,0.17303233,0.3817204301,0.1693548387,0.03225806452
ɖ,t,-0.27667604,0.3817204301,0.1693548387,0.03225806452
ɖʰ,d,0.20167512,0.04786680541,0.08532778356,0.2474881015
ɖʰ,t,-0.33681522,0.04786680541,0.08532778356,0.2474881015
dʒʰ,d͡ʒ,0.24729505,0.01668520578,0.1062291435,0.1239388795
dʒʰ,t͡ʃ,-0.37762794,0.01668520578,0.1062291435,0.1239388795
ɡʰ,g,0.20167512,0.01668520578,0.1062291435,0.1516694963
ɡʰ,k,-0.07218189,0.01668520578,0.1062291435,0.1516694963
ɳ,n,0.54887734,0.3817204301,0.125,-0.07661290323
ɳ,j,0.24445952,0.3817204301,0.125,-0.07661290323
ɽ,d,0.12733146,0.0770609319,0.1326164875,0.1553166069
ɽ,ɾ,0.24729505,0.0770609319,0.1326164875,0.1553166069
ʈ,t,0.13998311,0.3817204301,0.1827956989,-0.08870967742
ʈ,d,-0.26240256,0.3817204301,0.1827956989,-0.08870967742