tripletid,file_X,onset_X,offset_X,phoneitem_id_X,phone1_X,phone3_X,speaker_X,sex_X,dialect_X,phone_X,distance_OTH,dialect_OTH,file_OTH,offset_OTH,onset_OTH,phone1_OTH,phone3_OTH,phoneitem_id_OTH,sex_OTH,speaker_OTH,phone_OTH,distance_TGT,dialect_TGT,file_TGT,offset_TGT,onset_TGT,phone1_TGT,phone3_TGT,phoneitem_id_TGT,sex_TGT,speaker_TGT,phone_TGT
t00000050941,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR5/MBPM0/SX47.riff,0.115,0.3816,i30731,m,m,MBPM0,M,DR5,aa,0.481261664523696,DR6,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR6/FHXS0/SX355.riff,2.4421,2.2036,m,m,i161117,F,FHXS0,ae,0.412427786981254,DR6,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR6/FHXS0/SI2335.riff,2.3586,2.0689,m,m,i161067,F,FHXS0,aa
t00000105620,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MKDB0/SX62.riff,0.3275,0.5511,i140961,k,n,MKDB0,M,DR7,aa,0.508080553976384,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MTML0/SX75.riff,0.8334,0.6206,k,n,i146038,M,MTML0,ae,0.394570614615218,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MTML0/SX435.riff,1.8589,1.5925,k,n,i145924,M,MTML0,aa
t00000105963,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR6/MSAT1/SX353.riff,0.1939,0.4825,i165116,k,n,MSAT1,M,DR6,aa,0.453982916992181,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MJFR0/SX75.riff,0.9286,0.6725,k,n,i137166,M,MJFR0,ae,0.347718516356283,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MJFR0/SX435.riff,2.7287,2.2425,k,n,i137024,M,MJFR0,aa
t00000095760,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR4/MLJC0/SX55.riff,0.8789,1.0684,i54456,k,m,MLJC0,M,DR4,aa,0.432272712482844,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/FJKL0/SX392.riff,1.1566,0.9347,k,m,i90972,F,FJKL0,ae,0.369777324588462,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/FJKL0/SI932.riff,2.4759,2.1825,k,m,i90917,F,FJKL0,aa
t00000075973,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR4/MBNS0/SX50.riff,0.4934,0.7258,i7672,r,f,MBNS0,M,DR4,aa,0.381746127704069,DR4,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR4/MARW0/SX286.riff,2.3089,2.06,r,f,i56707,M,MARW0,ae,0.311082518550032,DR4,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR4/MARW0/SI646.riff,1.5825,1.3325,r,f,i56898,M,MARW0,aa
t00000000425,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR1/FDAC1/SX304.riff,1.0802,1.53,i44329,t,k,FDAC1,F,DR1,aa,0.374928858486426,DR6,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR6/FLNH0/SI584.riff,0.7519,0.4804,t,k,i40196,F,FLNH0,ae,0.393420764351569,DR6,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR6/FLNH0/SI941.riff,4.1225,3.7991,t,k,i40162,F,FLNH0,aa
t00000017157,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MDWD0/SA1.riff,0.6525,0.8525,i99043,d,r,MDWD0,M,DR2,aa,0.37080765388253,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/FBLV0/SX338.riff,2.2167,2.0341,d,r,i136059,F,FBLV0,ah,0.294015211628779,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/FBLV0/SA1.riff,0.9321,0.6971,d,r,i136018,F,FBLV0,aa
t00000098530,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR5/FSKP0/SX288.riff,0.7425,1.0757,i124645,k,m,FSKP0,F,DR5,aa,0.379385463951196,DR1,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR1/FELC0/SX306.riff,1.5324,1.2825,k,m,i44051,F,FELC0,ah,0.342909321224766,DR1,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR1/FELC0/SX36.riff,1.2896,1.0025,k,m,i43806,F,FELC0,aa
t00000012734,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR4/FJMG0/SX101.riff,3.4925,3.765,i3801,hh,l,FJMG0,F,DR4,aa,0.392999684336148,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MRMG0/SX360.riff,2.8475,2.48,hh,l,i151280,M,MRMG0,ah,0.396159411926892,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MRMG0/SX270.riff,0.6434,0.3968,hh,l,i151284,M,MRMG0,aa
t00000007711,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MTAT1/SX419.riff,2.1436,2.4912,i96192,w,tcl,MTAT1,M,DR2,aa,0.331262437703216,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MSAH1/SI2309.riff,1.6332,1.5369,w,tcl,i146153,M,MSAH1,ah,0.2729441725257,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MSAH1/SX419.riff,1.7856,1.5718,w,tcl,i146182,M,MSAH1,aa
t00000051162,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR6/FPAD0/SX446.riff,0.1843,0.3672,i157507,t,m,FPAD0,F,DR6,aa,0.482632341926245,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MRJT0/SI1498.riff,1.5931,1.3707,t,m,i94766,M,MRJT0,ah,0.473110513112345,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MRJT0/SX328.riff,1.239,0.8511,t,m,i94988,M,MRJT0,aa
t00000100328,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MDEM0/SA1.riff,3.0858,3.2625,i100768,w,dx,MDEM0,M,DR2,aa,0.341864758020959,DR3,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR3/FCMH0/SI2084.riff,0.2675,0.135,w,dx,i11036,F,FCMH0,ah,0.303183513756433,DR3,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR3/FCMH0/SA1.riff,2.8025,2.6141,w,dx,i11118,F,FCMH0,aa
t00000043753,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR4/MRAB1/SX308.riff,2.4483,2.7,i62304,r,s,MRAB1,M,DR4,aa,0.437689731941293,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MBTH0/SA1.riff,1.7188,1.4712,r,s,i139787,M,MBTH0,iy,0.285750286412093,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MBTH0/SX302.riff,1.7169,1.4606,r,s,i139814,M,MBTH0,aa
t00000049930,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR2/FJWB0/SX95.riff,0.2611,0.4875,i18576,w,n,FJWB0,F,DR2,aa,0.463561017582133,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MKAH0/SX178.riff,2.8632,2.6559,w,n,i104488,M,MKAH0,iy,0.386800820215437,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MKAH0/SX88.riff,2.63,2.4752,w,n,i104571,M,MKAH0,aa
t00000020635,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR3/MHPG0/SI1090.riff,2.2325,2.4775,i14087,r,s,MHPG0,M,DR3,aa,0.507327991617409,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/FJKL0/SI932.riff,3.6681,3.4244,r,s,i90932,F,FJKL0,iy,0.437410532818432,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/FJKL0/SX392.riff,1.6846,1.4619,r,s,i90980,F,FJKL0,aa
t00000054803,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR4/FBAS0/SI2066.riff,4.9025,5.3075,i63739,l,r,FBAS0,F,DR4,aa,0.425164372996894,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MTLC0/SA2.riff,1.7467,1.5274,l,r,i152138,M,MTLC0,iy,0.37581868930048,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MTLC0/SI847.riff,0.6225,0.3962,l,r,i152027,M,MTLC0,aa
t00000056359,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR3/MDNS0/SI1011.riff,3.2087,3.4084,i68731,l,r,MDNS0,M,DR3,aa,0.374528209543706,DR3,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR3/MMEB0/SA2.riff,1.5222,1.3473,l,r,i75895,M,MMEB0,iy,0.316533776965145,DR3,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR3/MMEB0/SI1357.riff,3.5945,3.3775,l,r,i75946,M,MMEB0,aa
t00000061634,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR4/FSEM0/SX118.riff,1.5175,1.7625,i8202,l,r,FSEM0,F,DR4,aa,0.484964424221528,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR2/FCMR0/SA2.riff,2.2898,2.0183,l,r,i20691,F,FCMR0,iy,0.34384503458212,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR2/FCMR0/SX205.riff,2.0966,1.8198,l,r,i20646,F,FCMR0,aa
t00000016458,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR3/MPRD0/SA1.riff,0.7258,0.9925,i69523,d,r,MPRD0,M,DR3,aa,0.356583415136095,DR3,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR3/MWJG0/SX224.riff,1.3211,1.1462,d,r,i14480,M,MWJG0,uh,0.257677209596494,DR3,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR3/MWJG0/SA1.riff,0.8825,0.6475,d,r,i14589,M,MWJG0,aa
t00000015559,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR2/MABW0/SA1.riff,0.6118,0.8277,i22765,d,r,MABW0,M,DR2,aa,0.368193142302818,DR5,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR5/FSJG0/SI940.riff,0.3759,0.1369,d,r,i113355,F,FSJG0,uh,0.32413201858089,DR5,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR5/FSJG0/SA1.riff,1.4725,1.1093,d,r,i113558,F,FSJG0,aa
t00000015731,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MJJM0/SA1.riff,0.5125,0.69,i153735,d,r,MJJM0,M,DR7,aa,0.299256640136153,DR5,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR5/FSJG0/SI940.riff,0.3759,0.1369,d,r,i113355,F,FSJG0,uh,0.379559011395818,DR5,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR5/FSJG0/SA1.riff,1.4725,1.1093,d,r,i113558,F,FSJG0,aa
t00000100193,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR3/FLJD0/SA1.riff,2.055,2.2575,i89668,w,dx,FLJD0,F,DR3,aa,0.435669086563156,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR2/MRCZ0/SI2171.riff,0.8975,0.77,w,dx,i17269,M,MRCZ0,uh,0.343231454953754,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR2/MRCZ0/SA1.riff,2.5675,2.355,w,dx,i17177,M,MRCZ0,aa
t00000015535,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR1/FSJK1/SA1.riff,0.6527,0.9295,i172703,d,r,FSJK1,F,DR1,aa,0.442549631236204,DR5,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR5/FSJG0/SI940.riff,0.3759,0.1369,d,r,i113355,F,FSJG0,uh,0.317862157375781,DR5,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR5/FSJG0/SA1.riff,1.4725,1.1093,d,r,i113558,F,FSJG0,aa
t00000016526,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MSAH1/SA1.riff,0.6175,0.7792,i146311,d,r,MSAH1,M,DR7,aa,0.372250638915221,DR3,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR3/MWJG0/SX224.riff,1.3211,1.1462,d,r,i14480,M,MWJG0,uh,0.276838958660147,DR3,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR3/MWJG0/SA1.riff,0.8825,0.6475,d,r,i14589,M,MWJG0,aa
t00000017958,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/FMMH0/SA1.riff,0.8459,1.0704,i93036,d,r,FMMH0,F,DR2,aa,0.440357139084274,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MRFK0/SI2336.riff,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,0.352062580299556,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MRFK0/SA1.riff,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000017994,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/FSKL0/SA1.riff,0.5509,0.7519,i97517,d,r,FSKL0,F,DR2,aa,0.464679005478177,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MRFK0/SI2336.riff,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,0.328357584152791,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MRFK0/SA1.riff,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000018167,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR4/MJDC0/SA1.riff,0.6606,0.9008,i59215,d,r,MJDC0,M,DR4,aa,0.418944085295652,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MRFK0/SI2336.riff,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,0.277075327673585,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MRFK0/SA1.riff,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000017936,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR5/FLJA0/SA1.riff,1.2755,1.5324,i123397,d,r,FLJA0,F,DR5,aa,0.42916629624424,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MRFK0/SI2336.riff,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,0.362439751481138,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MRFK0/SA1.riff,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000018118,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MEFG0/SA1.riff,0.6971,0.9321,i92714,d,r,MEFG0,M,DR2,aa,0.416589985498083,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MRFK0/SI2336.riff,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,0.274271320530927,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MRFK0/SA1.riff,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000018285,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR7/MNLS0/SA1.riff,0.6275,0.8475,i37946,d,r,MNLS0,M,DR7,aa,0.40499569210758,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MRFK0/SI2336.riff,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,0.269091995567343,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MRFK0/SA1.riff,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000086662,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR8/FNKL0/SA2.riff,1.4987,1.859,i177272,r,g,FNKL0,F,DR8,ae,0.410391948247391,DR3,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR3/FGCS0/SX136.riff,1.2238,1.0074,r,g,i78954,F,FGCS0,aa,0.322563487755902,DR3,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR3/FGCS0/SA2.riff,2.8356,2.5143,r,g,i79096,F,FGCS0,ae
t00000102551,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR6/FRJB0/SA2.riff,0.78,1.0626,i164360,k,r,FRJB0,F,DR6,ae,0.397586035222304,DR6,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR6/FKLC1/SX328.riff,1.8929,1.6866,k,r,i166180,F,FKLC1,aa,0.279741820663371,DR6,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR6/FKLC1/SA2.riff,1.0939,0.7925,k,r,i166085,F,FKLC1,ae
t00000102457,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR1/FSMA0/SA2.riff,0.8575,1.1694,i174735,k,r,FSMA0,F,DR1,ae,0.409966061195399,DR6,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR6/FHXS0/SI1075.riff,3.105,2.6834,k,r,i161023,F,FHXS0,aa,0.305870632319199,DR6,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR6/FHXS0/SA2.riff,1.1932,0.8175,k,r,i161180,F,FHXS0,ae
t00000095506,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR4/MKCL0/SA2.riff,1.6318,1.9875,i3345,r,g,MKCL0,M,DR4,ae,0.408494051550357,DR4,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR4/MSFH0/SX136.riff,1.3025,1.0679,r,g,i64411,M,MSFH0,aa,0.283766414000028,DR4,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR4/MSFH0/SA2.riff,2.7325,2.3159,r,g,i64557,M,MSFH0,ae
t00000091237,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR4/FPAF0/SA2.riff,1.6073,1.9256,i65663,r,g,FPAF0,F,DR4,ae,0.38951704759396,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MMAG0/SX136.riff,1.2325,1.0075,r,g,i109578,M,MMAG0,aa,0.275215501653239,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MMAG0/SA2.riff,1.9895,1.5822,r,g,i109725,M,MMAG0,ae
t00000105479,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR6/MTJU0/SI760.riff,0.4475,0.721,i156382,k,n,MTJU0,M,DR6,ae,0.414026958436974,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MTML0/SX435.riff,1.8589,1.5925,k,n,i145924,M,MTML0,aa,0.399645479293999,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MTML0/SX75.riff,0.8334,0.6206,k,n,i146038,M,MTML0,ae
t00000089910,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MHRM0/SA2.riff,1.4313,1.6894,i94235,r,g,MHRM0,M,DR2,ae,0.439215785343498,DR8,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR8/MSLB0/SX383.riff,2.4337,2.1625,r,g,i47688,M,MSLB0,ah,0.403791669403533,DR8,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR8/MSLB0/SA2.riff,1.9475,1.5561,r,g,i47796,M,MSLB0,ae
t00000092931,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR5/MMAB1/SA2.riff,1.6475,2.0651,i119384,r,g,MMAB1,M,DR5,ae,0.371867217937908,DR1,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR1/MWBT0/SX383.riff,3.5475,3.1302,r,g,i43317,M,MWBT0,ah,0.257808189743896,DR1,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR1/MWBT0/SA2.riff,2.1152,1.6919,r,g,i43355,M,MWBT0,ae
t00000082910,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR2/FCMR0/SA2.riff,2.1619,2.5613,i20693,r,g,FCMR0,F,DR2,ae,0.427695258290823,DR8,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR8/FCEG0/SX78.riff,1.1904,1.0213,r,g,i178846,F,FCEG0,ah,0.344823819988722,DR8,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR8/FCEG0/SA2.riff,1.7803,1.5012,r,g,i178923,F,FCEG0,ae
t00000082998,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR8/FMBG0/SA2.riff,1.6553,1.9425,i179231,r,g,FMBG0,F,DR8,ae,0.366988062196981,DR8,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR8/FCEG0/SX78.riff,1.1904,1.0213,r,g,i178846,F,FCEG0,ah,0.345834069889032,DR8,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR8/FCEG0/SA2.riff,1.7803,1.5012,r,g,i178923,F,FCEG0,ae
t00000086372,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MKDT0/SA2.riff,1.5378,1.8788,i91672,r,g,MKDT0,M,DR2,ae,0.405113907814371,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MJDE0/SI463.riff,1.8,1.4025,r,g,i94406,M,MJDE0,ah,0.278968726491543,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MJDE0/SA2.riff,2.6775,2.1825,r,g,i94539,M,MJDE0,ae
